,Vote,Yearly_ExpensesK,Yearly_IncomeK,Overall_happiness_score,Avg_Residancy_Altitude,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Healthcare,Most_Important_Issue_Military,Most_Important_Issue_Other,Most_Important_Issue_Social,Will_vote_only_large_party,Financial_agenda_matters
63,Blues,0.642299871945,0.646023621804,0.652392392578,0.579944865823,1,0,0,0,0,0,0,0,1.0,0.0
64,Yellows,0.604471749338,0.63310537603,0.651777357976,0.539484885319,0,0,0,0,0,0,0,1,1.0,0.0
65,Greens,0.671058490608,0.668998789502,0.667840761552,0.576495638941,0,0,0,1,0,0,0,0,1.0,1.0
66,Pinks,0.688013999104,0.673356850298,0.686134268787,0.545010063366,0,0,0,0,0,1,0,0,1.0,1.0
67,Greens,0.690407484838,0.664048959663,0.644195550704,0.602305981279,0,0,0,0,0,0,1,0,1.0,1.0
68,Blues,0.641070800136,0.653049426649,0.65125482611,0.516399650354,0,0,1,0,0,0,0,0,1.0,0.0
69,Yellows,0.597752100235,0.635627655608,0.644912337633,0.581323892656,0,0,0,0,0,0,0,1,1.0,0.0
70,Yellows,0.624104567587,0.633599012422,0.667480933786,0.516754984009,1,0,0,0,0,0,0,0,1.0,0.0
71,Yellows,0.595904840305,0.636773390717,0.638683576992,0.578623046966,0,0,1,0,0,0,0,0,1.0,0.0
72,Yellows,0.596212593614,0.623679056077,0.634371846102,0.498604458044,0,0,0,0,1,0,0,0,1.0,0.0
73,Blues,0.644333684362,0.654297682557,0.65285074966,0.523347465047,1,0,0,0,0,0,0,0,1.0,0.0
74,Reds,0.642622009814,0.6548688685,0.660744821507,0.552269363447,1,0,0,0,0,0,0,0,1.0,0.0
75,Blues,0.638263292084,0.646450295247,0.650518582395,0.51881279218,0,0,0,0,1,0,0,0,1.0,0.0
76,Reds,0.634392181803,0.651426225316,0.656993654929,0.547834597432,0,0,0,0,0,0,0,1,1.0,0.0
77,Blues,0.602025375959,0.636317609324,0.63733488516,0.536596954975,0,1,0,0,0,0,0,0,1.0,0.0
78,Yellows,0.610637295247,0.64440667809,0.644581049133,0.503567501055,0,0,0,0,0,0,0,1,1.0,0.0
79,Yellows,0.622551225622,0.64692813853,0.655423422334,0.529269136738,1,0,0,0,0,0,0,0,1.0,0.0
80,Browns,0.597312056856,0.670992799563,0.321528744415,0.669453938347,1,0,0,0,0,0,0,0,0.0,0.0
81,Yellows,0.634747289931,0.641424884885,0.68248621452,0.516410308833,1,0,0,0,0,0,0,0,1.0,0.0
82,Blues,0.608423320443,0.639177189715,0.642350353994,0.553483002692,0,0,0,0,0,0,0,1,1.0,0.0
83,Browns,0.504444985691,0.673728402691,0.568294063865,0.674565880611,0,0,0,0,0,0,0,1,0.0,0.0
84,Oranges,0.66574550366,0.675303847282,0.653031530801,0.50467853472,0,1,0,0,0,0,0,0,1.0,0.0
85,Blues,0.603687814207,0.638223996165,0.642173163665,0.520198427233,0,0,0,0,0,0,0,1,1.0,0.0
86,Blues,0.602862656391,0.634594854363,0.641607713137,0.530243106294,0,0,0,0,0,0,0,1,1.0,0.0
87,Purples,0.656045639228,0.653099851872,0.631504080481,0.606021064267,0,0,0,0,1,0,0,0,0.0,1.0
88,Blues,0.642716883585,0.645711718627,0.652446676299,0.539690661463,0,0,0,0,0,0,0,1,1.0,0.0
89,Pinks,0.687861378409,0.684321077075,0.687817024414,0.510609250703,0,0,0,0,0,0,1,0,1.0,1.0
90,Pinks,0.681597132894,0.673197291856,0.673555536984,0.520694975715,0,0,0,0,0,0,1,0,1.0,1.0
91,Yellows,0.587807335656,0.637967147076,0.64014368594,0.532983577617,0,0,0,0,1,0,0,0,1.0,0.0
92,Reds,0.598424413809,0.656973416644,0.673273554748,0.536182347693,0,0,0,0,0,0,0,1,1.0,0.0
93,Blues,0.605310373682,0.63685718774,0.637523611098,0.557722484095,0,0,0,0,1,0,0,0,1.0,0.0
94,Greens,0.644164225472,0.549871004497,0.495469315817,0.53693987079,0,0,0,0,0,0,1,0,1.0,1.0
95,Yellows,0.625999413293,0.648695822213,0.674899813173,0.536995359921,0,0,0,0,1,0,0,0,1.0,0.0
96,Pinks,0.683016773437,0.669762873018,0.6806684342,0.548296333903,0,0,0,0,0,0,1,0,1.0,1.0
97,Blues,0.604393681378,0.638408023407,0.642661652085,0.565612231942,0,0,1,0,0,0,0,0,1.0,0.0
98,Yellows,0.629213801206,0.647992460176,0.672126596646,0.528116448996,0,0,0,0,0,0,0,1,1.0,0.0
99,Greys,0.613832055727,0.639935611082,0.661328412957,0.540860664685,0,0,0,0,0,0,0,1,1.0,0.0
100,Greens,0.670362754449,0.647523785082,0.628960529587,0.565063908722,0,0,0,1,0,0,0,0,1.0,1.0
101,Yellows,0.632261788641,0.645772393344,0.674791420598,0.502925910332,0,0,1,0,0,0,0,0,1.0,0.0
102,Reds,0.592999466872,0.655407376077,0.671318209267,0.530622268147,1,0,0,0,0,0,0,0,1.0,0.0
103,Oranges,0.607109967688,0.643372249998,0.665260835823,0.582191014071,0,0,1,0,0,0,0,0,1.0,0.0
104,Yellows,0.610181117004,0.637424782398,0.660964848406,0.496310896652,0,1,0,0,0,0,0,0,1.0,0.0
105,Oranges,0.607668050263,0.635513940858,0.660745158679,0.524775443613,0,0,0,0,0,0,0,1,1.0,0.0
106,Reds,0.597145638071,0.654101141917,0.670231249098,0.573581332205,0,0,0,0,0,0,0,1,1.0,0.0
107,Blues,0.596947531741,0.62827074013,0.635410810842,0.538988124011,0,0,1,0,0,0,0,0,1.0,0.0
108,Greens,0.684098558951,0.644366597747,0.631765637239,0.601024424386,0,0,0,0,0,0,1,0,1.0,1.0
109,Whites,0.654050016046,0.666902756182,0.66218463219,0.539291894764,0,0,0,0,0,1,0,0,1.0,1.0
110,Blues,0.60301044879,0.640323899767,0.643632964323,0.607765235748,0,1,0,0,0,0,0,0,1.0,0.0
111,Blues,0.610623002629,0.637226885527,0.640970202695,0.513476017774,0,0,0,0,0,0,0,1,1.0,0.0
112,Yellows,0.602196322775,0.631708490245,0.634416237894,0.504943524371,1,0,0,0,0,0,0,0,1.0,0.0
113,Yellows,0.593091473882,0.625749918446,0.639371568365,0.608140290422,1,0,0,0,0,0,0,0,1.0,0.0
114,Blues,0.603746670021,0.635766009943,0.640927980036,0.606001513978,0,0,0,0,0,0,0,1,1.0,0.0
115,Oranges,0.606376966437,0.648075898269,0.66723140299,0.512577098691,0,0,1,0,0,0,0,0,1.0,0.0
116,Oranges,0.602433494603,0.639663369801,0.65876406653,0.574911155808,0,0,1,0,0,0,0,0,1.0,0.0
117,Pinks,0.58366677854,0.532966795063,0.577443929571,0.527491844581,0,0,0,0,0,1,0,0,1.0,1.0
118,Greys,0.615121937495,0.64088863835,0.657205229136,0.577426449999,0,0,0,0,1,0,0,0,1.0,0.0
119,Yellows,0.598918833861,0.634112748591,0.64359834952,0.550406424735,0,0,0,0,0,0,0,1,1.0,0.0
120,Yellows,0.631541882825,0.649076193855,0.674148190127,0.557111189611,0,1,0,0,0,0,0,0,1.0,0.0
121,Oranges,0.604900622106,0.637569774736,0.663368868196,0.552329782186,0,0,0,0,0,0,0,1,1.0,0.0
122,Oranges,0.673085070974,0.675956836705,0.65796927882,0.576661749304,0,1,0,0,0,0,0,0,1.0,0.0
123,Yellows,0.592989774558,0.624422833953,0.644711404666,0.599607862498,0,0,0,0,0,0,0,1,1.0,0.0
124,Greys,0.636723153662,0.637053018668,0.64579117524,0.605171550071,0,0,0,0,0,0,0,1,1.0,0.0
125,Yellows,0.604881140716,0.643295349957,0.642453985029,0.519385981339,0,1,0,0,0,0,0,0,1.0,0.0
126,Whites,0.573538450795,0.652679987875,0.68463140001,0.587551050379,0,0,0,1,0,0,0,0,1.0,1.0
127,Greys,0.642190894971,0.633234576489,0.638721714138,0.566190581489,0,0,0,0,1,0,0,0,1.0,0.0
128,Greens,0.537937733155,0.545919467421,0.497093371189,0.59699688724,0,0,0,0,0,0,1,0,1.0,1.0
129,Blues,0.60549240937,0.635674042117,0.63775026889,0.566857437701,0,1,0,0,0,0,0,0,1.0,0.0
130,Whites,0.520787818188,0.644322157677,0.535194593091,0.555491582135,0,0,0,1,0,0,0,0,1.0,1.0
131,Oranges,0.666757194625,0.673225641571,0.658214150779,0.562936301602,0,0,0,0,1,0,0,0,1.0,0.0
132,Greys,0.612860210333,0.642767725871,0.659248345448,0.535532538694,0,1,0,0,0,0,0,0,1.0,0.0
133,Reds,0.636289419751,0.647693068925,0.652292496058,0.532556162433,1,0,0,0,0,0,0,0,1.0,0.0
134,Oranges,0.599064360868,0.632654679968,0.665314739596,0.562903108333,0,0,0,0,0,0,0,1,1.0,0.0
135,Yellows,0.602066215148,0.626620931625,0.642680016845,0.606014202677,0,1,0,0,0,0,0,0,1.0,0.0
136,Yellows,0.582760599649,0.634542443094,0.63525935774,0.541717043065,0,0,0,0,0,0,0,1,1.0,0.0
137,Reds,0.638393368644,0.650160338741,0.657558341747,0.518962343656,0,0,0,0,0,0,0,1,1.0,0.0
138,Greys,0.608518969433,0.637737714439,0.658342319396,0.529209784538,0,0,0,0,0,0,0,1,1.0,0.0
139,Yellows,0.597334266041,0.63240350593,0.626016803696,0.503694791679,1,0,0,0,0,0,0,0,1.0,0.0
140,Blues,0.606805867761,0.636240781772,0.641031833666,0.572987941897,1,0,0,0,0,0,0,0,1.0,0.0
141,Greys,0.64010116584,0.639110358043,0.645059986666,0.498858249296,1,0,0,0,0,0,0,0,1.0,0.0
142,Yellows,0.620309016133,0.643910577665,0.668336061992,0.56252887337,1,0,0,0,0,0,0,0,1.0,0.0
143,Yellows,0.595514954034,0.641736922568,0.641724304951,0.566936075411,1,0,0,0,0,0,0,0,1.0,0.0
144,Reds,0.596710329857,0.657031165935,0.678724184357,0.591928863966,0,1,0,0,0,0,0,0,1.0,0.0
145,Pinks,0.640235728492,0.614444269203,0.663795470646,0.548718140448,0,0,0,0,0,1,0,0,1.0,1.0
146,Blues,0.597945030588,0.635163145046,0.637138388655,0.511932326146,0,0,1,0,0,0,0,0,1.0,0.0
147,Blues,0.642938478323,0.654077289725,0.648290473652,0.550945790798,0,0,1,0,0,0,0,0,1.0,0.0
148,Browns,0.580253714355,0.572758067889,0.588459498017,0.630370941606,0,1,0,0,0,0,0,0,0.0,0.0
149,Yellows,0.610989692567,0.642967623585,0.66195328796,0.581669350738,0,1,0,0,0,0,0,0,1.0,0.0
150,Greys,0.646496676582,0.641985369339,0.64748225883,0.613846560306,0,0,0,0,1,0,0,0,1.0,0.0
151,Greys,0.61473072551,0.635954617639,0.657021930671,0.570637369612,0,0,0,0,0,0,0,1,1.0,0.0
152,Yellows,0.608125405694,0.642365832197,0.649313515712,0.548044160877,0,1,0,0,0,0,0,0,1.0,0.0
153,Blues,0.599604238666,0.633948988083,0.63685187969,0.557109157577,0,1,0,0,0,0,0,0,1.0,0.0
154,Yellows,0.613112980588,0.627276690607,0.665798224597,0.590606531529,0,0,1,0,0,0,0,0,1.0,0.0
155,Oranges,0.667655928302,0.673722219934,0.65388020342,0.5899854448,0,0,0,0,0,0,0,1,1.0,0.0
156,Blues,0.609523170691,0.636666086059,0.641805291331,0.613168536699,0,0,1,0,0,0,0,0,1.0,0.0
157,Oranges,0.605451706562,0.637443449305,0.65936545828,0.572792840691,1,0,0,0,0,0,0,0,1.0,0.0
158,Pinks,0.542916447819,0.486451079815,0.640091222758,0.547106052835,0,0,0,0,0,1,0,0,1.0,1.0
159,Browns,0.642371708116,0.622542838511,0.586584884696,0.644556373226,1,0,0,0,0,0,0,0,0.0,0.0
160,Blues,0.604947971389,0.635801826393,0.639188794038,0.527990944949,0,1,0,0,0,0,0,0,1.0,0.0
161,Yellows,0.598048510942,0.642732224617,0.647422238074,0.514708460659,0,0,0,0,1,0,0,0,1.0,0.0
162,Yellows,0.620416010743,0.643250203456,0.666084473199,0.540498126807,1,0,0,0,0,0,0,0,1.0,0.0
163,Whites,0.650426744915,0.666143304636,0.674469931098,0.606530227482,0,0,0,0,0,1,0,0,1.0,1.0
164,Reds,0.637512728789,0.650146587013,0.653514971444,0.514825190128,1,0,0,0,0,0,0,0,1.0,0.0
165,Yellows,0.63426754476,0.649474818657,0.669793296687,0.526352443017,0,0,0,0,1,0,0,0,1.0,0.0
166,Yellows,0.620080807589,0.645361312212,0.652771329062,0.495638073732,0,1,0,0,0,0,0,0,1.0,0.0
167,Reds,0.643904379383,0.645750555263,0.651058015808,0.494502088069,0,0,0,0,0,0,0,1,1.0,0.0
168,Blues,0.639082313642,0.649642525493,0.654447649328,0.610442793946,1,0,0,0,0,0,0,0,1.0,0.0
169,Blues,0.636171678365,0.649766653773,0.652681742056,0.534912282577,0,0,1,0,0,0,0,0,1.0,0.0
170,Oranges,0.607578508414,0.635083600049,0.666451253182,0.506317326306,1,0,0,0,0,0,0,0,1.0,0.0
171,Pinks,0.658749592465,0.606274498348,0.654376529098,0.549172882376,0,0,0,0,0,0,1,0,1.0,1.0
172,Browns,0.526110546016,0.641444079029,0.667780866562,0.648195991567,0,1,0,0,0,0,0,0,0.0,0.0
173,Yellows,0.59682136388,0.643045851198,0.646235357669,0.504829926255,1,0,0,0,0,0,0,0,1.0,0.0
174,Reds,0.636828683438,0.649234779503,0.654083466615,0.59105032152,0,0,1,0,0,0,0,0,1.0,0.0
175,Pinks,0.655249055319,0.651134370943,0.652105322682,0.503893715345,0,0,0,0,0,0,1,0,1.0,1.0
176,Oranges,0.601459099522,0.631511724516,0.664254438638,0.542512035688,0,1,0,0,0,0,0,0,1.0,0.0
177,Greys,0.641948245212,0.63346409355,0.645396796264,0.505711492274,1,0,0,0,0,0,0,0,1.0,0.0
178,Reds,0.601218649942,0.653296687055,0.67566804451,0.540678598779,0,1,0,0,0,0,0,0,1.0,0.0
179,Oranges,0.611494610913,0.640262409751,0.666204648424,0.571209668315,0,1,0,0,0,0,0,0,1.0,0.0
180,Reds,0.643875613286,0.656286707336,0.659455946365,0.575555451627,0,1,0,0,0,0,0,0,1.0,0.0
181,Reds,0.598944448328,0.659710396989,0.672784699105,0.585300651918,0,0,0,0,0,0,0,1,1.0,0.0
182,Greys,0.615572345146,0.643815564157,0.66204173344,0.522293870649,0,0,0,0,0,0,0,1,1.0,0.0
183,Blues,0.606854531791,0.636448824346,0.637710789958,0.545039160927,0,0,0,0,0,0,0,1,1.0,0.0
184,Pinks,0.609355332974,0.608824660274,0.683310194745,0.563322309334,0,0,0,0,0,0,1,0,1.0,1.0
185,Whites,0.650153424326,0.654583747844,0.68073581341,0.539190014188,0,0,0,0,0,1,0,0,1.0,1.0
186,Reds,0.642400200555,0.65251494839,0.66162155065,0.546377091633,0,0,0,0,1,0,0,0,1.0,0.0
187,Blues,0.635917434034,0.643858982426,0.648994240932,0.540866731121,0,0,1,0,0,0,0,0,1.0,0.0
188,Blues,0.605269267655,0.637598725252,0.637873255806,0.568931188703,0,0,1,0,0,0,0,0,1.0,0.0
189,Oranges,0.61034496086,0.642670791774,0.66463867585,0.614436293438,1,0,0,0,0,0,0,0,1.0,0.0
190,Reds,0.593555862842,0.653003575186,0.672781279756,0.523436472977,0,0,1,0,0,0,0,0,1.0,0.0
191,Yellows,0.598332609134,0.632176532875,0.643936721307,0.554121123809,1,0,0,0,0,0,0,0,1.0,0.0
192,Greys,0.640141374204,0.63307867177,0.642367734223,0.543846839854,0,0,0,0,0,0,0,1,1.0,0.0
193,Yellows,0.635289992785,0.6526853385,0.668767731558,0.535675365503,0,0,0,0,0,0,0,1,1.0,0.0
194,Greys,0.65165564235,0.646025913912,0.656145192331,0.510173516468,1,0,0,0,0,0,0,0,1.0,0.0
195,Blues,0.601869024123,0.636102023351,0.63724975,0.514938512863,0,1,0,0,0,0,0,0,1.0,0.0
196,Greens,0.658195331334,0.688786033319,0.612851624897,0.589288081509,0,0,0,1,0,0,0,0,1.0,1.0
197,Blues,0.636908137635,0.645242894361,0.647356746083,0.597579172352,1,0,0,0,0,0,0,0,1.0,0.0
198,Blues,0.596395555711,0.630755454889,0.635822685419,0.577822178776,0,0,0,0,1,0,0,0,1.0,0.0
199,Whites,0.606989481421,0.651977529155,0.680133665008,0.534162003783,0,0,0,1,0,0,0,0,1.0,1.0
200,Yellows,0.631425479024,0.64035597261,0.670297324977,0.558796399158,0,1,0,0,0,0,0,0,1.0,0.0
201,Blues,0.601423421375,0.636571933246,0.635292325183,0.520310684957,1,0,0,0,0,0,0,0,1.0,0.0
202,Oranges,0.66779966489,0.672962557472,0.653891819682,0.609531321321,1,0,0,0,0,0,0,0,1.0,0.0
203,Greens,0.642190239725,0.608050623346,0.600151620644,0.546724089155,0,0,0,0,0,0,1,0,1.0,1.0
204,Greys,0.646326714362,0.637542198919,0.650693860878,0.540844527164,0,0,1,0,0,0,0,0,1.0,0.0
205,Reds,0.635619809413,0.642880717589,0.652254281994,0.517974680768,0,1,0,0,0,0,0,0,1.0,0.0
206,Reds,0.639198489035,0.653292874586,0.656537550252,0.494124808164,0,0,0,0,1,0,0,0,1.0,0.0
207,Blues,0.610715197032,0.644657827088,0.645681378757,0.50933845913,0,0,0,0,1,0,0,0,1.0,0.0
208,Whites,0.688310977846,0.690361515947,0.688527681799,0.518644925773,0,0,0,0,0,1,0,0,1.0,1.0
209,Whites,0.554965786651,0.681684441229,0.593962044436,0.505023519694,0,0,0,1,0,0,0,0,1.0,1.0
210,Whites,0.545568371024,0.660602187484,0.621377856545,0.54683452978,0,0,0,1,0,0,0,0,1.0,1.0
211,Yellows,0.581750264326,0.632314742897,0.637641675671,0.524409976755,1,0,0,0,0,0,0,0,1.0,0.0
212,Reds,0.636346173017,0.649310050052,0.653546788758,0.537025791036,1,0,0,0,0,0,0,0,1.0,0.0
213,Yellows,0.599941702782,0.630344842277,0.630890195125,0.546519061423,1,0,0,0,0,0,0,0,1.0,0.0
214,Blues,0.603167225071,0.638194566897,0.638941048164,0.515387817167,1,0,0,0,0,0,0,0,1.0,0.0
215,Blues,0.597757986673,0.633019635336,0.636807865629,0.530650263162,0,1,0,0,0,0,0,0,1.0,0.0
216,Yellows,0.614989430201,0.648473348627,0.667320552811,0.545967336366,1,0,0,0,0,0,0,0,1.0,0.0
217,Blues,0.600734994411,0.637743904884,0.640922980323,0.517557309787,0,1,0,0,0,0,0,0,1.0,0.0
218,Blues,0.596960676415,0.634042640031,0.637287433975,0.573858885919,0,0,1,0,0,0,0,0,1.0,0.0
219,Yellows,0.600962432985,0.629452073492,0.644086038036,0.529536649175,1,0,0,0,0,0,0,0,1.0,0.0
220,Reds,0.639737576976,0.656762918344,0.658079898777,0.603779769407,0,0,1,0,0,0,0,0,1.0,0.0
221,Reds,0.590665706451,0.653707044397,0.673961677217,0.545361661985,0,1,0,0,0,0,0,0,1.0,0.0
222,Pinks,0.682698756446,0.570463558167,0.581966647138,0.615280124276,0,0,0,0,0,1,0,0,1.0,1.0
223,Yellows,0.607506360362,0.643958881567,0.642514598582,0.535045019157,0,1,0,0,0,0,0,0,1.0,0.0
224,Greens,0.68914297186,0.679162884001,0.674616426521,0.573279019328,0,0,0,0,0,0,1,0,1.0,1.0
225,Yellows,0.61449930867,0.642946397614,0.634660563752,0.559880089997,0,0,1,0,0,0,0,0,1.0,0.0
226,Oranges,0.611732488136,0.637550017378,0.665691358413,0.569404683282,0,0,0,0,1,0,0,0,1.0,0.0
227,Purples,0.578798706206,0.625785770565,0.632837840053,0.599408106466,0,0,0,0,0,0,0,1,0.0,1.0
228,Greens,0.59759526863,0.686268942445,0.350640330046,0.536396114196,0,0,0,1,0,0,0,0,1.0,1.0
229,Browns,0.55101997667,0.6592682411,0.594615432328,0.641867516092,0,0,0,0,0,0,0,1,0.0,0.0
230,Yellows,0.597900146522,0.6403881842,0.637758884118,0.570430996373,0,1,0,0,0,0,0,0,1.0,0.0
231,Reds,0.584855742552,0.651464631395,0.66988750398,0.581668084776,0,1,0,0,0,0,0,0,1.0,0.0
232,Blues,0.639475615247,0.649981105285,0.650214223515,0.524746123471,0,0,1,0,0,0,0,0,1.0,0.0
