,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Residancy_Altitude,Looking_at_poles_results,Yearly_ExpensesK,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Garden_sqr_meter_per_person_in_residancy_area,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
3745,Greens,7.0,515.716920654,171298.733021,Other,171.905640218,No,996.469532959,No,Male,After_16:00,0.340500372229,0.503090417013,9.69697082881,5.91915832832,5.83664255682,1.8320473074,6570.0,62.1011489304,997.206889921,11959.1091094,119403.47395,Yes,992951.530115,31.5785827725,1990836.02087,0.277199200355,29733.454779,50.0,30-45,1.0,1490.32751719,9.0,Motorcycle_or_truck,Hightech,986.388725927,0.0,Yes
1921,Yellows,5.0,950.0010157,177358.415045,Environment,316.667005233,No,560.078606593,No,Female,By_16:00,0.719284596154,0.584593607346,9.7194410977,9.06454099808,9.95711018331,6.51759199332,7196.0,99.5591617189,627.490533206,6855.76713234,76650.5160311,Yes,313688.045563,25.0497611407,788794.901352,20.4731819686,100604.659209,90.0,30-45,,988.791450601,2.0,Car,Student_or_Unemployed,736.084220114,1.0,No
1277,Yellows,9.0,914.946452874,127256.279697,Healthcare,304.982150958,No,417.258122476,Yes,Male,After_16:00,0.757805824745,0.416195485508,7.94054809026,5.42553769192,9.63892775821,1.56846099533,7334.0,83.6124433903,585.188460035,5342.95814483,67999.8704307,Yes,174104.340772,24.1906688629,685930.995445,40.4452818679,93329.0945539,80.0,Below_30,4.0,874.730329449,6.0,Motorcycle_or_truck,Hightech,612.669806341,2.0,No
632,Whites,3.0,313.543090509,86298.5197798,Military,104.514363503,No,825.709662167,No,Male,After_16:00,0.613370253704,0.715088770725,8.55944825104,0.294422984589,6.43868914805,6.22381808003,5538.0,85.3853199165,936.39477493,10129.8861715,110502.907049,Yes,681796.446197,30.6005682125,1755443.20047,16.4966023993,11037.766542,30.0,Below_30,1.0,1393.89715056,5.0,,Public_Sector,937.141773816,0.0,Yes
3746,Oranges,1.0,1022.65958099,156436.314345,Environment,340.886526996,No,458.910229522,Yes,Female,By_16:00,0.191658231895,0.185128097655,4.85465795966,3.22024009656,2.12871804368,3.5264504631,7726.0,1.77632009145,613.744911654,5816.59211853,75383.461115,Yes,210598.59876,24.7738755881,754638.125753,78.1824224861,116554.510815,90.0,Below_30,3.0,1000.05262346,13.0,Foot_or_bicycle,Industry_or_other,803.582360035,4.0,No
4292,Greys,2.0,71.8962801826,15537.5278558,Financial,23.9654267275,No,648.330949097,,Female,After_16:00,0.621959473705,0.880865514511,0.311471051537,7.01697760262,9.47966630105,3.16864127759,3013.0,92.8063202184,584.602644142,7652.51477925,71963.6487369,Yes,420333.019557,24.1785575281,684795.08668,44.2772946088,608.30710496,60.0,30-45,0.0,899.101802267,12.0,Car,Public_Sector,616.252655259,1.0,No
2021,Blues,6.0,137.663307056,19221.576967,Environment,45.8877690187,No,418.88235968,Yes,Male,After_16:00,0.367572513176,0.336018888513,1.41895966604,9.92931457469,6.1244141194,7.34701575711,6458.0,94.5993238362,578.738898841,5346.30139448,67592.9017082,Yes,175462.431251,24.0569927223,670922.516669,5.71045652032,2161.57511453,90.0,30-45,4.0,,7.0,Foot_or_bicycle,Student_or_Unemployed,616.208247236,1.0,No
6986,Reds,1.0,659.154884289,129782.308311,Social,219.718294763,No,590.675930974,No,Male,By_16:00,0.90274549718,0.363939964911,0.82915042527,1.58534237882,0.224425310735,8.94171548309,8071.0,84.401652473,631.996313511,7170.75193676,76546.3533405,Yes,348898.055432,25.1395368595,800132.624227,80.7578133652,48505.8473483,70.0,30-45,3.0,974.498132497,20.0,Public_or_other,Services_or_Retail,693.267714481,2.0,No
5178,Reds,10.0,980.188411269,117720.603232,Social,326.729470423,No,360.299923602,Yes,Female,By_16:00,0.72443958628,0.227854393888,2.52768548438,7.15657242807,4.30257352768,8.72857175302,9795.0,24.9606262892,685.894044628,4974.78732528,81172.1168998,Yes,129816.034948,26.1895789319,942148.776256,65.0088281836,107088.876313,70.0,Below_30,1.0,1091.93234184,15.0,Car,Industry_or_other,877.195418623,0.0,No
8185,Reds,10.0,266.825926352,51325.6442171,Social,88.9419754507,No,577.068858174,No,Female,By_16:00,0.579085389152,0.425124303438,6.41902649775,3.3148916997,8.07095163036,7.60227607796,7278.0,15.6797375763,660.026916354,7090.74241445,78732.1687966,Yes,333008.467075,,872558.992303,6.16847844794,8009.61697253,70.0,30-45,2.0,1002.16252139,6.0,Foot_or_bicycle,Industry_or_other,700.862821708,2.0,No
3724,Reds,3.0,338.39742979,66494.4465375,Education,112.799143263,No,589.494251586,No,Female,By_16:00,0.672757152002,0.798419875326,8.63140070811,3.74586443184,1.83325028047,4.5921491948,5586.0,73.2854981907,691.897284818,7278.7370855,80741.2721158,Yes,347503.472653,26.3039404808,958711.377428,60.0196201587,12846.4458642,100.0,Below_30,1.0,1015.74583048,11.0,Foot_or_bicycle,Public_Sector,668.177697972,0.0,No
4093,Pinks,7.0,338.38020997,95053.7411436,Military,112.793403323,No,842.724293646,No,Female,By_16:00,0.0240847673267,0.941104686819,8.13766158652,3.40697441017,1.80868259864,2.14311114745,9909.0,5.81284286454,602.571407799,9632.38575206,84024.4013354,Yes,710184.235101,24.5473299525,727971.778405,71.7869560467,12845.1452366,30.0,45_and_up,1.0,1093.8122555,13.0,Public_or_other,Student_or_Unemployed,934.451118241,1.0,Yes
9549,Greys,3.0,778.886329283,161026.910567,Environment,259.628776428,No,620.219810694,No,Male,After_16:00,0.928878881503,0.564614903182,4.32487809099,5.3128167754,7.83718366409,5.59795775684,6345.0,81.7141851643,577.180368828,7356.55884459,71965.5845736,Yes,384672.613577,24.0245784318,667567.507362,92.3105309485,67676.7303258,90.0,45_and_up,2.0,912.949927918,16.0,Foot_or_bicycle,Industry_or_other,662.931229808,0.0,No
7292,Blues,4.0,576.980068055,117965.258809,Financial,192.326689352,No,613.358755389,No,Male,By_16:00,0.539093376603,0.663476376561,6.29218071932,1.15725228563,3.82772451034,2.32243133709,6641.0,45.3519463073,658.654941615,7450.89743712,78955.3153426,Yes,376208.962812,25.6642736429,868964.536948,92.780327145,37191.8821264,60.0,45_and_up,4.0,998.382304988,8.0,Foot_or_bicycle,Hightech,688.513963991,0.0,No
3957,Oranges,4.0,149.301353473,37946.750379,Healthcare,49.7671178244,No,762.486397402,No,Male,By_16:00,0.292108172784,0.969182372326,2.18468744308,3.79934957251,3.29653391382,2.06871753791,5195.0,30.8793389238,825.788512674,9276.44099936,94929.8968072,Yes,581385.506223,28.7365361983,1365317.32377,74.8785131844,2536.53313438,80.0,30-45,0.0,1165.2093237,14.0,Public_or_other,Public_Sector,691.502045107,0.0,No
4237,Blues,8.0,383.889132865,71111.1964371,Environment,127.963044288,No,555.716666735,No,Female,After_16:00,0.0385522292927,0.819767841604,6.80263739778,3.16107041901,5.41088755475,8.58610481489,6338.0,5.06242145784,631.678519231,6820.52370581,74486.1096716,Yes,308821.013687,25.1332154575,799231.856712,4.58960470278,16512.5037478,90.0,45_and_up,1.0,939.400699169,10.0,Motorcycle_or_truck,Public_Sector,630.636730376,0.0,No
802,Greys,6.0,547.077898891,84078.9422038,Environment,182.35929963,No,461.061993407,Yes,Female,After_16:00,0.59390486218,0.0153003090527,4.68010213459,4.34843900846,3.34765382111,1.59146025544,5562.0,14.1513326205,610.427608512,5831.47515109,73684.5388487,Yes,212578.161764,24.7068332352,746454.456646,97.7618964389,33447.2734613,90.0,45_and_up,4.0,965.323140041,16.0,Motorcycle_or_truck,Public_Sector,739.664186079,3.0,No
4303,Pinks,7.0,197.669743914,56639.2956525,Other,65.8899146378,No,859.604932921,No,Female,After_16:00,0.912499391707,0.663777553709,9.71606729552,4.72271241015,1.84237152571,3.70520449709,4162.0,12.4896324705,800.196131459,10196.4415921,98625.1287832,Yes,738920.640703,28.2877381821,1282366.70055,20.4963968834,4417.37076562,50.0,30-45,1.0,1240.83602045,3.0,Motorcycle_or_truck,Industry_or_other,869.398017688,0.0,Yes
1996,Yellows,3.0,231.179434301,33501.0672885,Environment,77.0598114338,No,434.741101298,Yes,Female,After_16:00,0.660519678611,0.721524264896,0.933508230373,8.06019773707,2.16239089612,4.11165504018,3937.0,15.3303107945,582.355480429,5512.12197383,68094.9606897,Yes,188999.825157,24.1320426079,679334.288077,41.7381116422,6025.27434965,90.0,Below_30,2.0,874.461945415,11.0,Car,Industry_or_other,613.7358058,0.0,No
3952,Whites,6.0,514.085179378,25783.2220802,Military,171.361726459,No,150.460797828,Yes,Female,After_16:00,0.686664263718,0.210491867037,7.01067270478,3.94608996343,3.90044286614,3.37270285934,4063.0,50.5741884233,160.546390407,1825.70075909,23656.4095605,Yes,22638.4516829,12.6706902104,52069.6549069,29.1680651484,29546.2030216,30.0,30-45,3.0,338.991412994,20.0,Public_or_other,Student_or_Unemployed,358.90716369,0.0,Yes
1944,Reds,8.0,200.844147927,40503.9265139,Environment,66.9480493089,No,605.005327743,No,Female,By_16:00,0.0579601628706,0.391925174743,6.66772167198,7.55154082784,8.68643129012,1.23159890994,7309.0,20.5245821038,653.110195652,7356.27366873,78801.7924579,Yes,366031.446597,25.5560207319,854428.160057,13.852120284,4558.98935558,90.0,Below_30,3.0,1001.9494096,4.0,Motorcycle_or_truck,Services_or_Retail,707.299401483,0.0,No
3709,Pinks,8.0,521.143070579,98998.373719,Other,173.71435686,No,569.891720573,No,Male,After_16:00,0.338467531139,0.273194729351,1.29168793326,4.45423131576,7.02835939359,8.50834422512,9715.0,10.531860753,366.923935013,6432.76507576,59397.7900292,Yes,324776.573178,19.1552586778,270731.271021,30.6855568429,30360.392136,50.0,30-45,1.0,829.736278317,14.0,Public_or_other,Industry_or_other,885.031129496,0.0,Yes
7278,Greens,,521.683553562,141074.911482,Foreign_Affairs,173.894517854,No,811.267159095,No,Female,By_16:00,0.0684315830003,0.355694239261,6.35716726305,5.2229538979,8.45385357272,0.420684251003,6612.0,32.9333392903,946.706120871,10006.0838327,105453.063257,Yes,658154.403425,30.7685898421,1794018.61844,28.0561518855,30423.1978576,40.0,Below_30,0.0,1279.35856998,12.0,Motorcycle_or_truck,Industry_or_other,692.392690573,0.0,Yes
9014,Yellows,8.0,230.84192227,31503.5926849,Environment,76.9473074233,No,409.417739748,Yes,Female,By_16:00,0.640759535832,0.342850285349,1.25562852016,4.42371701123,0.237124571577,9.8952822038,8553.0,9.12784552202,612.592463779,5319.36232504,70077.9963947,Yes,167622.88562,24.7506053215,751571.970998,84.4447350828,6007.83542712,90.0,Below_30,1.0,899.024941737,17.0,Foot_or_bicycle,Student_or_Unemployed,613.499900723,0.0,No
7630,Yellows,5.0,84.988004476,11082.5571643,Healthcare,28.3293348253,No,391.204284628,Yes,Female,By_16:00,0.560730032157,0.287495387951,,0.0162058509886,6.60777508747,5.5071626557,9829.0,43.3465540409,651.570064753,5215.18297578,74571.9627003,Yes,153040.792311,25.5258704994,850175.080445,78.6563477479,840.880546472,80.0,45_and_up,2.0,968.922284161,16.0,Public_or_other,Services_or_Retail,686.77759484,1.0,No
2909,Yellows,3.0,466.089171815,77208.7339599,Social,155.363057272,No,496.956839778,Yes,Male,By_16:00,0.847083859611,0.320609527174,7.06144038122,6.64700099267,0.33577157883,4.19497695751,3425.0,0.9190028999,666.573341452,6302.71508068,81726.7536762,Yes,246966.100602,25.8180816764,890014.501129,31.5382725792,24303.0426221,70.0,30-45,1.0,1083.3643018,2.0,Public_or_other,Public_Sector,867.505221037,2.0,No
4748,Oranges,8.0,283.418703305,37920.4885647,Healthcare,94.4729011017,No,401.390114228,Yes,Female,After_16:00,0.568257803097,0.584349776153,0.569583799224,7.48610523762,3.69236120023,3.45510894433,5576.0,76.758389594,535.36790074,5084.63694376,66348.3797217,Yes,161114.0238,23.1380185137,574374.851692,57.8329713084,9029.60194367,80.0,45_and_up,2.0,884.911768189,13.0,Motorcycle_or_truck,Industry_or_other,725.8832922,1.0,No
5433,Whites,9.0,603.146629021,181217.089148,Military,201.04887634,No,901.358378353,No,Female,After_16:00,0.160216812277,0.460156622343,1.22876029927,3.60201343661,1.2523999298,6.64925388526,6553.0,77.831364423,984.501949503,10982.5876825,116642.619899,Yes,812446.926226,31.3767740455,1940380.37777,89.3730689539,40631.699554,30.0,45_and_up,0.0,1466.6087121,6.0,Motorcycle_or_truck,Industry_or_other,980.842239431,0.0,Yes
7227,Blues,1.0,781.464588805,112530.345386,Financial,260.488196268,No,431.997867843,Yes,Male,After_16:00,0.243654077407,0.728833541041,6.66307361098,2.27188467514,3.79607167561,4.20256019337,7678.0,17.7448807983,582.507082559,5484.99284355,,Yes,186622.157821,24.1351834996,679681.644653,42.271745461,68124.5885914,60.0,Below_30,4.0,872.778322434,3.0,Motorcycle_or_truck,Student_or_Unemployed,610.644322695,0.0,No
8940,Reds,4.0,148.948572513,21261.6385108,Social,49.6495241711,No,428.234486952,Yes,Female,By_16:00,0.513652694644,0.362139000557,2.60585026583,8.27794463839,3.84693553206,7.54079074133,4540.0,27.2897021845,730.465108414,5743.27508635,85520.8617669,Yes,183384.775815,27.027118019,1068457.8127,57.3125466472,2524.72477459,70.0,30-45,4.0,1130.75654226,7.0,Car,Student_or_Unemployed,861.028991981,0.0,No
1266,Yellows,6.0,597.856555812,83320.3575238,Environment,199.285518604,No,418.095394525,Yes,Female,After_16:00,0.67578989896,0.346758262254,0.181334398221,5.24657532573,4.20133069623,4.19178258162,3031.0,,587.66524857,5356.28444239,67375.5410589,Yes,174803.758923,24.2418078651,691705.275428,45.8619243465,39924.0034438,90.0,45_and_up,0.0,858.85390374,5.0,Public_or_other,Services_or_Retail,576.291281149,0.0,No
7588,Reds,6.0,103.345680198,13149.342787,Education,34.4485600661,No,381.709504309,Yes,Male,By_16:00,0.0360136169475,0.164179726504,1.26378628192,3.77916176571,3.66891182261,8.31081952434,4724.0,68.9084217418,687.558398299,5192.21183968,80483.0157022,,145702.145679,26.2213347925,946690.432614,2.37389635295,1231.15185069,100.0,Below_30,1.0,1069.78399292,9.0,Car,Industry_or_other,825.620968049,0.0,No
8032,Greys,1.0,245.235411063,40623.2016632,Financial,81.745137021,No,496.949459547,Yes,Female,After_16:00,0.429028334329,0.824812145205,4.98503481969,6.66177769424,5.10298981331,9.57648231415,5807.0,67.8367413115,614.872457533,6199.23951054,74956.8981214,Yes,246958.765344,24.7966218976,757396.225817,40.9785907948,6774.0125636,60.0,30-45,4.0,979.579303527,12.0,Car,Hightech,752.998291585,1.0,No
5145,Yellows,,113.930499366,18283.8961493,Financial,37.9768331219,No,481.448679267,Yes,Male,After_16:00,0.380328248255,0.730073456187,7.06457352964,5.63822509022,4.69981064787,5.73626933387,9566.0,62.5510092825,619.313974919,6053.11474251,75184.8238522,Yes,231792.830768,24.8860196681,768349.964187,40.4585902812,1490.21668709,60.0,45_and_up,1.0,984.985669508,10.0,Car,Industry_or_other,758.916448309,0.0,No
7879,Reds,5.0,593.569771594,119811.737166,Healthcare,197.856590531,No,605.54837645,No,Male,After_16:00,0.804912444437,0.752602043096,1.28382452298,7.99634508323,6.72512501013,9.78709076531,9869.0,81.0302314116,662.450010105,7380.38378471,78929.9696127,Yes,366688.836222,25.7381042446,878975.56478,3.87147415895,39355.0870072,80.0,Below_30,1.0,996.752159884,4.0,Public_or_other,Hightech,679.984626288,0.0,No
9651,Greys,10.0,246.266102125,37804.6111604,Financial,82.0887007084,No,460.533676792,Yes,Male,By_16:00,0.711227159947,0.709362620255,3.90732463682,3.83422836196,4.41444943892,1.33934789337,8472.0,93.4772402048,635.553137384,5876.44304269,75537.5362285,Yes,212091.26746,25.2101792414,809059.341196,28.1160607003,6830.64348471,60.0,Below_30,0.0,984.664511592,9.0,Motorcycle_or_truck,Hightech,733.226640533,0.0,No
6618,Reds,2.0,961.238536159,124506.252316,Social,320.412845386,No,388.580714254,Yes,Female,By_16:00,0.412686505355,0.0481786984019,5.16389618861,9.86331315245,2.0066062361,2.81026677927,4513.0,86.8543579243,720.010062743,5325.82726802,82983.4003042,Yes,150994.97149,26.8330032375,1038043.94088,67.5392399542,102994.804334,70.0,45_and_up,3.0,1095.05676143,11.0,Public_or_other,Services_or_Retail,816.379267064,2.0,No
1557,Whites,3.0,120.010877945,1818.51926082,Military,40.0036259818,No,45.4588606954,Yes,Male,By_16:00,0.566965481034,0.531619497808,6.59436657093,2.28068076773,9.94650751585,5.12489431538,9360.0,63.2010518108,780.821974436,2016.23255583,78065.6513967,Yes,2066.50801572,27.9431919157,1220066.02659,82.5230787508,1650.29371767,30.0,45_and_up,2.0,1029.61376763,1.0,Public_or_other,Services_or_Retail,644.656209132,1.0,Yes
8979,Yellows,9.0,168.775606652,28910.7646224,Environment,56.2585355508,No,513.891169391,No,Male,After_16:00,0.139961430337,0.805552872829,9.03998492286,3.47830090439,3.46691175597,6.36622339254,7991.0,8.89308957849,,6236.27303733,72357.8322667,Yes,264084.133978,23.4239337369,603482.555776,92.4430991057,3231.28135787,90.0,Below_30,1.0,,17.0,Motorcycle_or_truck,Services_or_Retail,857.705593492,0.0,No
5683,Blues,8.0,378.498228377,77182.3308677,Social,126.166076126,No,611.751853096,No,Female,By_16:00,0.792853330495,0.281268254388,5.51706568804,6.29581249086,,4.46020767791,4401.0,55.4118316621,686.988113661,7491.49475828,80904.205146,Yes,374240.329766,26.2104580971,945202.974326,68.104940909,16054.0448411,70.0,Below_30,1.0,1017.40741262,3.0,Foot_or_bicycle,Hightech,675.885850024,1.0,No
1478,Blues,5.0,95.8152379015,,Education,31.9384126338,No,416.074442789,Yes,Male,After_16:00,0.766074966174,0.405784341041,5.61804088997,0.993339645211,9.6953303949,0.757354695816,6327.0,53.2818165608,546.488417548,5253.72126298,64223.1244399,Yes,173117.941942,23.3770917256,598309.202668,15.3309938498,1062.0006142,100.0,30-45,2.0,825.420618085,6.0,Public_or_other,Industry_or_other,583.947196026,3.0,No
6331,Oranges,1.0,590.108428205,91941.9181369,Healthcare,196.702809402,No,467.415378644,Yes,Male,By_16:00,0.541067192098,0.346258361824,2.75899458211,8.59204296721,8.15166920191,1.45815812517,8681.0,27.519797883,569.243773603,5812.64133365,71110.7803802,Yes,218477.136193,23.8588300971,649320.676735,75.8586406242,38898.6980359,80.0,45_and_up,1.0,942.217826608,13.0,Motorcycle_or_truck,Services_or_Retail,766.313785003,0.0,No
2522,Oranges,6.0,176.315231751,23514.2468089,Healthcare,58.771743917,No,400.094420238,Yes,Female,By_16:00,0.819438249804,0.167489164509,7.75539397495,7.66282660654,6.53526708717,9.50019420125,7545.0,61.3158657914,558.323012424,5117.59022723,68062.7404744,Yes,160075.545105,23.628859736,624580.801362,76.5998757444,3522.88962697,80.0,Below_30,1.0,903.267421387,20.0,Public_or_other,Services_or_Retail,721.534536363,3.0,No
1602,Oranges,5.0,562.340046858,80514.7392114,Social,187.446682286,No,429.534085263,Yes,Female,After_16:00,0.474509041524,0.691018226789,2.82817819156,9.25881352508,2.30963061797,3.45173023641,7258.0,61.9333100272,556.496746438,5408.33434551,68320.4180745,Yes,184499.530403,23.5901832642,620534.122066,0.0137194059789,35333.7053823,70.0,45_and_up,2.0,902.465674015,8.0,Car,Industry_or_other,717.330387388,3.0,No
8646,Yellows,8.0,333.245141297,64220.6286422,Environment,111.081713766,No,578.138619446,No,Male,By_16:00,0.996408852981,0.175561705837,5.00554108759,6.95769160753,4.97507195221,0.142161245458,6180.0,81.0086852638,621.880032318,7025.14625909,79038.1615945,Yes,334244.263294,24.9375225778,774903.748787,26.9688931759,12460.2288469,90.0,30-45,1.0,1040.53637969,3.0,Car,Public_Sector,846.060977327,1.0,No
5129,Whites,5.0,331.548513258,38131.2669292,Foreign_Affairs,110.516171086,No,345.028845593,Yes,Male,After_16:00,0.0484073392581,0.916001389502,7.64222644037,8.79772739718,0.571361605544,8.86866680114,4858.0,80.4015709553,982.754818054,5415.79809204,97559.2979659,Yes,119044.904291,31.3489205245,1932537.50332,60.1078124018,12334.3402426,40.0,45_and_up,1.0,1203.18705008,15.0,Public_or_other,Hightech,568.409658542,3.0,Yes
732,Pinks,2.0,762.791219368,201510.986361,Other,254.263739789,No,792.527422619,No,Male,By_16:00,0.20585236582,0.620163652347,5.1445005089,5.10910414625,1.81295907823,7.52324735979,5174.0,83.6729817558,774.699785514,9474.67379722,93459.6701675,Yes,628099.715604,27.8334292805,1201905.11761,53.004937456,64914.3131115,50.0,30-45,3.0,1168.01996535,11.0,Foot_or_bicycle,Industry_or_other,783.074832253,0.0,Yes
8299,Reds,6.0,813.849164675,156241.908632,Environment,271.283054892,No,575.936851989,No,Female,By_16:00,0.703965604305,0.317043728661,0.864603528753,9.3231802783,6.25862710644,0.0415236665867,8361.0,6.33320715278,664.951266801,7089.27105349,78634.9849575,Yes,331703.257479,25.7866490029,885586.657254,18.2381537044,73875.7789262,90.0,Below_30,2.0,996.222806399,13.0,Foot_or_bicycle,Student_or_Unemployed,680.345962158,0.0,No
6088,Blues,6.0,481.804878155,94456.4804296,Financial,160.601626052,No,588.141494901,No,Male,After_16:00,0.353591329884,0.881198440213,6.47584652761,8.04666640004,5.05988264922,2.1574542881,9927.0,61.02248237,680.592647964,7242.60024493,78896.7213688,Yes,345910.418024,26.0881706519,927639.146599,13.7968309922,25963.4839165,60.0,30-45,1.0,985.497622187,2.0,Public_or_other,Services_or_Retail,628.300179059,0.0,No
8697,Blues,6.0,292.103985638,57319.4189358,Social,97.3679952128,No,588.688498828,No,Male,By_16:00,0.819916162407,0.511425613891,8.7654292048,6.06877554674,6.32014201023,0.655753465835,9086.0,27.3691107519,646.612970049,7180.11092838,76899.9165117,Yes,346554.148653,25.4285856872,837474.623025,36.073819804,9587.89448698,70.0,30-45,1.0,970.454749616,3.0,Public_or_other,Industry_or_other,659.268453376,1.0,No
