,Yearly_ExpensesK,Yearly_IncomeK,Overall_happiness_score,Avg_Residancy_Altitude,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Healthcare,Most_Important_Issue_Military,Most_Important_Issue_Other,Most_Important_Issue_Social,Will_vote_only_large_party,Financial_agenda_matters
27,374.683344082,568.028423728,652.30865172,121.934704495,0,0,1,0,0,0,0,0,1.0,0.0
28,676.052630915,537.074108142,940.668294851,316.111385342,0,0,0,0,0,1,0,0,1.0,1.0
29,419.507419359,614.624735768,625.468629066,31.9571565204,0,0,0,0,1,0,0,0,1.0,0.0
30,515.988489017,575.316898709,803.457129335,24.7850479131,0,0,0,0,0,0,0,1,1.0,0.0
31,463.518573206,596.520277143,713.519481481,288.144485387,0,0,0,0,1,0,0,0,1.0,0.0
32,648.057662215,675.190183168,700.884880611,222.718681192,0,1,0,0,0,0,0,0,1.0,0.0
33,962.713976817,887.750932248,896.698983797,282.369996064,0,0,0,0,0,0,1,0,1.0,1.0
34,969.789341558,981.134810772,983.317684205,268.759342526,0,0,0,0,0,1,0,0,1.0,1.0
35,533.072304212,182.597147525,83.9423197317,399.096356462,0,1,0,0,0,0,0,0,0.0,0.0
36,574.416618476,660.108196281,702.062011239,20.9839987143,0,0,1,0,0,0,0,0,1.0,0.0
37,619.154734981,658.092492032,727.767820567,44.2594298503,0,1,0,0,0,0,0,0,1.0,0.0
38,383.927011658,697.318438227,867.762846993,88.652088802,1,0,0,0,0,0,0,0,1.0,0.0
39,382.679712923,671.083359185,835.393040278,123.406319257,0,0,0,0,0,0,0,1,1.0,0.0
40,152.957297195,562.875776788,503.7123783,664.471549574,0,0,1,0,0,0,0,0,0.0,0.0
41,791.731643285,904.06082968,731.285518268,106.939382496,0,0,0,1,0,0,0,0,1.0,1.0
42,469.457398665,608.599069579,764.541475538,132.596189535,0,0,1,0,0,0,0,0,1.0,0.0
43,181.157171884,95.7747810998,234.045537924,350.944349944,0,1,0,0,0,0,0,0,0.0,0.0
44,604.216055847,641.443914468,686.066600204,216.14232778,1,0,0,0,0,0,0,0,1.0,0.0
45,477.439528051,649.410839491,750.454001913,256.838379185,0,1,0,0,0,0,0,0,1.0,0.0
46,705.075964766,778.647333304,354.228110802,723.918275278,0,0,0,0,0,0,0,1,0.0,0.0
47,519.787350753,624.973428597,831.702490191,100.764788405,0,0,0,0,0,0,0,1,1.0,0.0
48,439.802272734,586.025347217,757.974196498,272.173693878,0,0,0,0,0,0,0,1,1.0,0.0
49,391.790627209,607.410910567,596.303460553,94.4497841331,0,0,0,0,1,0,0,0,1.0,0.0
50,336.653861587,573.480547282,649.790775435,196.539951536,0,0,0,0,0,0,0,1,1.0,0.0
51,569.210695322,676.675689631,681.898054624,21.9834734123,1,0,0,0,0,0,0,0,1.0,0.0
52,409.398956274,634.240250742,618.339135587,238.770352543,1,0,0,0,0,0,0,0,1.0,0.0
53,410.675365676,666.629026809,662.26905119,86.98958918,0,1,0,0,0,0,0,0,1.0,0.0
54,403.50570425,607.369698302,643.696016997,59.2398876468,0,0,0,0,1,0,0,0,1.0,0.0
55,701.012893486,632.795988212,569.452749565,67.1861013458,0,0,0,0,0,0,1,0,1.0,1.0
56,532.207180746,956.709673507,730.108716158,106.529597752,0,0,0,1,0,0,0,0,1.0,1.0
57,999.883417173,893.871771683,750.533353537,26.182201324,0,0,0,0,0,0,1,0,1.0,1.0
58,442.980312301,604.742624112,603.207593507,171.221099874,1,0,0,0,0,0,0,0,1.0,0.0
59,639.723432952,484.634380736,609.257088143,-96.2374447567,1,0,0,0,0,0,0,0,0.0,1.0
60,468.742183244,656.407267261,784.889682841,122.62233505,0,0,0,0,0,0,0,1,1.0,0.0
61,411.904667789,553.126274949,772.144860635,230.272053116,0,1,0,0,0,0,0,0,1.0,0.0
62,129.585843927,648.294770287,30.838066632,506.567473344,0,0,1,0,0,0,0,0,0.0,0.0
63,280.86507139,744.013549593,950.558514117,441.160168382,0,0,1,0,0,0,0,0,0.0,0.0
64,497.514025613,618.84901589,743.616152631,163.109268262,0,0,1,0,0,0,0,0,1.0,0.0
65,400.015778438,698.383963358,875.931587288,221.3505494,1,0,0,0,0,0,0,0,1.0,0.0
66,606.427817494,636.499193772,702.270830209,178.688245089,0,1,0,0,0,0,0,0,1.0,0.0
67,623.415678585,614.378038248,647.181946718,193.110064616,0,0,0,0,1,0,0,0,1.0,0.0
68,367.724493905,702.236918314,518.118442856,386.733631269,1,0,0,0,0,0,0,0,0.0,1.0
69,663.893836362,366.715842159,651.396968107,278.5397161,0,0,0,0,0,0,1,0,1.0,1.0
70,642.279896332,691.222877305,809.640376912,358.048155376,0,0,0,0,0,0,0,1,0.0,1.0
71,428.641947142,592.201653757,613.837666144,242.260049716,1,0,0,0,0,0,0,0,1.0,0.0
72,588.025656547,538.576764817,594.45696218,491.92474213,0,1,0,0,0,0,0,0,0.0,1.0
73,496.196463704,674.917147905,899.840696586,281.970134222,0,0,0,1,0,0,0,0,1.0,1.0
74,381.683080892,688.602023319,829.661338283,46.3429921498,0,0,0,0,1,0,0,0,1.0,0.0
75,407.937334006,541.130710607,782.790001034,146.197347143,0,1,0,0,0,0,0,0,1.0,0.0
76,809.450782762,543.85287594,731.145585055,314.295481172,0,0,0,0,0,0,1,0,1.0,1.0
77,614.296521073,577.392973959,651.898623589,326.821632091,0,0,0,0,1,0,0,0,1.0,0.0
78,374.690450169,535.345429786,626.90580824,200.98400872,0,0,0,0,0,0,0,1,1.0,0.0
79,668.020638318,264.530864079,440.595554261,115.682495842,0,0,0,0,0,1,0,0,1.0,1.0
80,838.018401715,874.337044287,721.677415841,254.927696175,0,0,0,0,1,0,0,0,1.0,0.0
81,396.361867862,587.341678388,614.34177157,299.0207547,0,0,0,0,0,0,0,1,1.0,0.0
82,435.078484634,609.521268892,576.426617245,39.7136061912,0,0,0,0,0,0,0,1,1.0,0.0
83,363.868581141,614.549035317,634.321169685,95.5946778015,0,1,0,0,0,0,0,0,1.0,0.0
84,429.061897062,571.245904289,602.634687228,181.239532062,0,0,0,0,1,0,0,0,1.0,0.0
85,540.086306005,699.641329094,862.017205367,141.386256907,0,0,0,0,0,0,0,1,1.0,0.0
86,549.48228604,365.043535558,47.2346088469,408.528213924,0,1,0,0,0,0,0,0,0.0,0.0
87,922.484774278,147.201728774,960.822579081,134.950021539,0,0,0,0,0,1,0,0,1.0,1.0
88,595.759264221,362.678549252,903.717689346,68.667434051,0,0,0,0,0,0,1,0,1.0,1.0
89,443.276322844,693.239697673,633.802267123,365.270110772,1,0,0,0,0,0,0,0,0.0,0.0
90,596.018706813,656.040998324,689.887699715,52.5050516359,1,0,0,0,0,0,0,0,1.0,0.0
91,648.532893017,729.243721328,735.376986216,319.167039178,0,0,0,0,1,0,0,0,1.0,0.0
92,113.876297335,508.937404412,909.981203723,388.42771731,1,0,0,0,0,0,0,0,0.0,0.0
93,811.825314086,867.28892417,712.111064614,106.144718102,0,0,0,0,0,0,0,1,1.0,0.0
94,637.045619084,670.092499551,699.951594577,56.6081085885,0,0,1,0,0,0,0,0,1.0,0.0
95,583.564533038,661.81870198,680.07565511,198.575324999,0,1,0,0,0,0,0,0,1.0,0.0
96,586.332491121,646.009193207,677.665783348,200.573494949,1,0,0,0,0,0,0,0,1.0,0.0
97,398.709531443,626.899937521,655.805032261,231.864502717,0,1,0,0,0,0,0,0,1.0,0.0
98,349.701665391,627.780288224,599.715320365,160.549425153,0,0,0,0,1,0,0,0,1.0,0.0
99,803.767749791,677.374733245,255.209785653,70.6913672935,0,0,0,1,0,0,0,0,1.0,1.0
100,612.519617652,602.761295734,640.383650173,47.4425090459,0,0,1,0,0,0,0,0,1.0,0.0
101,646.946700065,695.46933706,728.66499885,110.482188414,0,0,0,0,1,0,0,0,1.0,0.0
102,668.028015292,626.351548343,684.042858185,45.7477692919,0,0,1,0,0,0,0,0,1.0,0.0
103,534.056985913,633.417142258,857.498005578,65.6017017515,1,0,0,0,0,0,0,0,1.0,0.0
104,962.425395711,699.009409174,943.819693154,30.4556438158,0,0,0,0,0,1,0,0,1.0,1.0
105,337.710761915,553.818643706,546.403234154,314.609655831,0,1,0,0,0,0,0,0,1.0,0.0
106,401.128133143,586.422955008,562.656018457,133.647249508,0,0,0,0,1,0,0,0,1.0,0.0
107,642.211779438,684.69599544,711.144896578,263.961313997,0,0,1,0,0,0,0,0,1.0,0.0
108,403.86947184,714.497954673,859.897989139,163.950530616,0,0,0,0,0,0,0,1,1.0,0.0
109,677.014123498,289.332543733,666.602538249,140.296630673,0,0,0,0,0,1,0,0,1.0,1.0
110,381.67847782,539.443027362,751.680830308,89.3458459579,1,0,0,0,0,0,0,0,1.0,0.0
111,255.060778664,473.388937164,193.835864542,110.012545037,0,0,0,0,0,0,1,0,1.0,1.0
112,567.62879899,661.573716398,695.30960999,53.1124672548,0,0,0,0,1,0,0,0,1.0,0.0
113,557.979528625,642.01180226,647.804362163,311.959206468,0,0,1,0,0,0,0,0,1.0,0.0
114,492.553363121,672.171439176,821.299044101,19.2301959684,0,0,1,0,0,0,0,0,1.0,0.0
115,800.47706508,857.163464966,689.115632901,70.147507977,1,0,0,0,0,0,0,0,1.0,0.0
116,398.644902188,686.468154825,798.513615589,65.6173045328,0,0,1,0,0,0,0,0,1.0,0.0
117,828.129705724,39.1527069733,673.789735521,88.8576636427,0,0,0,0,0,0,1,0,1.0,1.0
118,472.17794562,609.150201202,737.3683934,208.519666457,0,1,0,0,0,0,0,0,1.0,0.0
119,545.391479629,558.748704737,825.549630916,359.558492199,0,0,0,0,1,0,0,0,0.0,0.0
120,431.135070757,532.678022295,558.076151639,81.9788930949,0,0,0,0,1,0,0,0,1.0,0.0
121,203.863396258,462.543252159,504.739407393,443.520364718,0,0,0,0,0,0,0,1,0.0,0.0
122,881.944803502,853.804899,847.134358715,146.324081773,0,0,0,0,0,0,1,0,1.0,1.0
123,402.141314773,586.871672647,666.718549949,117.523374518,0,0,0,0,0,0,0,1,1.0,0.0
124,357.307369581,672.885533382,820.723882284,109.621270162,0,0,0,0,0,0,0,1,1.0,0.0
125,468.70116806,618.468875089,736.729885534,146.379117155,1,0,0,0,0,0,0,0,1.0,0.0
126,473.482118921,621.186603036,737.132100086,101.817898518,0,0,0,0,0,0,0,1,1.0,0.0
127,393.271055955,559.83963322,756.983397382,140.866316292,0,0,0,0,1,0,0,0,1.0,0.0
128,972.189191707,634.54934562,284.926024964,44.5002454855,0,0,0,1,0,0,0,0,1.0,1.0
129,628.411045191,582.963968433,700.184976642,169.218969723,0,0,0,0,0,0,0,1,1.0,0.0
130,415.701062676,727.675209917,885.073691655,113.152059833,0,0,0,0,1,0,0,0,1.0,0.0
131,640.646805353,776.948556973,829.952569919,418.967754073,0,0,0,0,0,0,0,1,0.0,1.0
132,390.776142161,741.621006031,888.404576675,84.7492684689,0,1,0,0,0,0,0,0,1.0,0.0
133,431.366327061,571.550161481,589.286943955,142.217001141,1,0,0,0,0,0,0,0,1.0,0.0
134,392.909334339,705.760010194,803.760111248,113.774917413,0,1,0,0,0,0,0,0,1.0,0.0
135,990.235131623,724.046922522,816.142364305,35.1868341332,0,0,0,0,0,0,1,0,1.0,1.0
136,400.167708615,585.472817011,618.616861234,182.370295083,0,0,0,0,1,0,0,0,1.0,0.0
137,430.456709281,655.25923115,790.668906084,13.1313336559,0,1,0,0,0,0,0,0,1.0,0.0
138,453.04008927,634.598642718,740.754055482,88.9646258089,0,0,0,0,1,0,0,0,1.0,0.0
139,428.100606945,610.594383658,673.576376437,157.565392442,1,0,0,0,0,0,0,0,1.0,0.0
140,449.440549663,602.618558034,703.160465874,73.2021724769,0,0,1,0,0,0,0,0,1.0,0.0
141,939.805833986,934.748229969,883.77309544,113.721943029,0,0,0,0,0,0,1,0,1.0,1.0
142,506.715700316,605.943086326,739.74093892,231.453983638,0,1,0,0,0,0,0,0,1.0,0.0
143,418.316059294,587.758506977,623.245384939,139.518068185,1,0,0,0,0,0,0,0,1.0,0.0
144,617.762690596,604.290958752,656.262138638,33.134910605,1,0,0,0,0,0,0,0,1.0,0.0
145,418.32985294,583.713005589,620.547039188,162.068526261,0,0,0,0,0,0,0,1,1.0,0.0
146,478.230871415,581.417739166,797.12795983,202.570641519,0,1,0,0,0,0,0,0,1.0,0.0
147,403.879065781,571.410466247,727.623170096,194.551016597,1,0,0,0,0,0,0,0,1.0,0.0
148,813.891137472,384.232359938,744.781054671,30.5039907927,0,0,0,0,0,0,1,0,1.0,1.0
149,466.957848686,633.26960633,446.963047842,338.312559546,0,0,0,0,0,0,1,0,1.0,1.0
150,430.485353972,576.28520204,642.789151605,193.125523957,0,0,0,0,0,0,0,1,1.0,0.0
151,635.583086657,558.03070101,868.864417367,36.3498610499,0,0,0,0,0,0,1,0,1.0,1.0
152,390.324454057,711.069836865,848.474446293,189.163834642,0,0,1,0,0,0,0,0,1.0,0.0
153,408.546959156,566.855123004,610.474335695,130.602045317,0,0,0,0,0,0,0,1,1.0,0.0
154,552.853722905,623.375763351,722.854987533,272.708767524,0,0,1,0,0,0,0,0,1.0,0.0
155,380.177978082,694.890401267,838.498584179,18.0159214951,0,0,1,0,0,0,0,0,1.0,0.0
156,589.98537876,652.265807032,698.149387586,221.639562389,0,1,0,0,0,0,0,0,1.0,0.0
157,616.574743917,558.381763633,622.885234919,61.6974163683,0,0,0,0,1,0,0,0,1.0,0.0
158,947.943178658,735.428788466,992.407065199,162.278966503,0,0,0,0,0,1,0,0,1.0,1.0
159,335.506510749,548.26931869,598.498475573,80.4201649292,0,0,0,0,0,0,0,1,1.0,0.0
160,880.284638683,968.765023224,495.706699323,25.0799073139,0,0,0,0,0,0,1,0,1.0,1.0
161,598.94978872,662.1394282,699.676134863,87.5926122302,0,0,0,0,0,0,0,1,1.0,0.0
162,817.200614024,179.225632688,438.708433044,56.4014498455,0,0,0,0,0,0,1,0,1.0,1.0
163,253.384043046,510.756088363,169.232074184,401.052953014,0,0,0,0,0,0,0,1,0.0,0.0
164,375.860721793,674.767165299,850.396800003,175.711517355,0,0,0,0,1,0,0,0,1.0,0.0
165,417.977797344,560.543451077,581.070003335,294.956379015,0,1,0,0,0,0,0,0,1.0,0.0
166,395.691543593,710.936459476,856.902030344,165.030960897,0,0,0,0,1,0,0,0,1.0,0.0
167,136.432375555,553.888772936,872.271024347,391.277728216,1,0,0,0,0,0,0,0,0.0,0.0
168,315.842844524,587.792888673,564.746308892,59.6250727369,0,0,0,0,0,0,0,1,1.0,0.0
169,523.076505439,622.962092591,808.951779062,107.099979305,0,0,0,0,0,0,0,1,1.0,0.0
170,485.343660367,635.176763313,807.732363489,52.0313996026,0,0,0,0,1,0,0,0,1.0,0.0
171,348.563545273,697.172993104,835.478428937,23.0071839381,1,0,0,0,0,0,0,0,1.0,0.0
172,604.66847002,697.573602922,738.462464441,220.813203562,0,0,0,0,0,0,0,1,1.0,0.0
173,454.817194463,549.835494938,606.979987603,229.62550249,0,0,1,0,0,0,0,0,1.0,0.0
174,942.879244452,958.616942599,986.558166674,209.055946229,0,0,0,1,0,0,0,0,1.0,1.0
175,418.910368059,595.138787954,588.623769916,28.3233879794,0,1,0,0,0,0,0,0,1.0,0.0
176,617.280443533,629.668104611,665.794706447,123.396369438,0,0,0,0,1,0,0,0,1.0,0.0
177,372.425407775,576.943338838,707.481522323,150.791840739,0,1,0,0,0,0,0,0,1.0,0.0
178,393.706962252,554.580774195,573.53587793,36.3901595719,0,0,1,0,0,0,0,0,1.0,0.0
179,893.548759166,913.276541645,941.784301594,97.7162992582,0,0,0,1,0,0,0,0,1.0,1.0
180,227.518282831,909.10172719,771.25372198,219.764996117,0,0,0,0,0,1,0,0,1.0,1.0
181,419.322249518,685.769860782,888.634372698,45.1031381684,0,0,0,0,0,0,0,1,1.0,0.0
182,433.464255322,585.136598117,752.769162392,6.2916760724,0,0,0,0,0,0,0,1,1.0,0.0
183,314.470482948,677.867408011,827.253419359,48.2989176297,0,1,0,0,0,0,0,0,1.0,0.0
184,450.862073216,607.708149982,748.584891205,93.4480780007,0,0,0,0,1,0,0,0,1.0,0.0
185,669.436503575,567.708821569,582.82848083,-105.4696402,0,0,0,0,0,0,0,1,0.0,1.0
186,437.699407343,600.361353772,833.970167726,14.2281488113,0,0,0,0,1,0,0,0,1.0,0.0
187,500.742893935,658.603358149,714.121578885,130.562969946,0,0,0,0,0,0,0,1,1.0,0.0
188,465.53855489,981.427597677,62.7321531065,98.0396580079,0,0,0,0,0,0,1,0,1.0,1.0
189,610.468558454,713.642713788,738.515564547,147.253367636,0,1,0,0,0,0,0,0,1.0,0.0
190,180.260966765,899.659777091,985.406931596,65.2173462055,0,0,0,1,0,0,0,0,1.0,1.0
191,214.412587772,41.2990963024,228.053672953,585.914365626,1,0,0,0,0,0,0,0,0.0,0.0
192,769.245560823,442.253132121,557.118102769,651.59500475,0,0,0,0,0,0,0,1,0.0,0.0
193,358.68915001,667.833206874,802.137127128,67.0638532014,0,0,1,0,0,0,0,0,1.0,0.0
194,394.722595668,581.892552093,596.27275205,13.9656131605,1,0,0,0,0,0,0,0,1.0,0.0
195,338.727517015,68.2836011268,271.453760125,402.349116949,0,0,1,0,0,0,0,0,0.0,0.0
196,475.147905509,638.687192445,873.126353147,219.487874482,0,1,0,0,0,0,0,0,1.0,0.0
197,885.198056529,494.578032522,551.914056615,56.4782640014,0,0,0,0,0,0,1,0,1.0,1.0
198,40.3905059564,688.642485779,819.824908204,609.769668054,0,0,0,0,1,0,0,0,0.0,0.0
199,419.426420707,749.254130512,915.180407782,65.8589376604,0,0,0,0,1,0,0,0,1.0,0.0
200,377.976351102,571.761800841,571.469529827,174.807586665,0,0,1,0,0,0,0,0,1.0,0.0
201,438.255909523,167.196556652,586.059058234,458.831150376,0,0,0,0,0,0,0,1,0.0,0.0
202,410.720096258,740.648834659,852.230568743,47.9822634803,1,0,0,0,0,0,0,0,1.0,0.0
203,66.0239646476,814.116324383,454.464125312,667.466127337,0,0,0,0,0,0,0,1,0.0,0.0
204,344.477008649,759.852195591,19.6768905959,411.419811407,0,1,0,0,0,0,0,0,0.0,0.0
205,419.85003637,580.897777843,632.40988429,74.1615726652,1,0,0,0,0,0,0,0,1.0,0.0
206,577.695444956,506.848956423,556.365847997,-58.8909646419,0,0,1,0,0,0,0,0,0.0,1.0
207,525.470330752,686.405635362,748.839177925,92.8283480015,0,1,0,0,0,0,0,0,1.0,0.0
208,606.364404653,646.292885738,699.005169933,128.171490394,1,0,0,0,0,0,0,0,1.0,0.0
209,343.385778291,146.732982868,587.838860938,396.914161595,0,1,0,0,0,0,0,0,0.0,0.0
210,420.825581702,544.035536533,776.094210429,337.935654436,1,0,0,0,0,0,0,0,1.0,0.0
211,409.543420153,541.3784369,588.684954155,279.701721223,0,0,0,0,0,0,0,1,1.0,0.0
212,446.908996992,600.431394388,596.498591044,78.5973568851,0,0,0,0,0,0,0,1,1.0,0.0
213,426.405736514,647.092241518,638.877341003,337.245416573,1,0,0,0,0,0,0,0,1.0,0.0
214,612.13145639,641.391358512,702.954033951,340.035299408,1,0,0,0,0,0,0,0,1.0,0.0
215,247.442450988,373.432946259,485.694756513,710.541836548,0,1,0,0,0,0,0,0,0.0,0.0
216,434.828170531,595.077980183,613.391240597,242.386872591,0,0,0,0,1,0,0,0,1.0,0.0
217,446.038849134,604.526478221,613.08819863,134.177690568,0,0,0,0,0,0,0,1,1.0,0.0
218,365.466481298,590.403108158,750.669904015,84.5307668356,1,0,0,0,0,0,0,0,1.0,0.0
219,461.064300007,88.1387880072,430.768099476,66.3250757511,0,0,0,0,0,1,0,0,1.0,1.0
220,372.067296239,694.302952735,450.274310965,24.4326092433,0,0,0,0,1,0,0,0,0.0,1.0
221,833.034833491,745.125951245,882.861274693,208.750756218,0,0,0,0,0,1,0,0,1.0,1.0
222,463.191380878,590.987903652,600.649828834,108.171085456,0,1,0,0,0,0,0,0,1.0,0.0
223,428.621781292,580.136960573,783.294090043,198.159185955,0,0,1,0,0,0,0,0,1.0,0.0
224,420.833302193,630.024606421,623.343713216,304.17378451,0,0,0,0,1,0,0,0,1.0,0.0
225,611.909319454,686.740131709,710.284065729,51.5792146715,0,0,0,0,1,0,0,0,1.0,0.0
226,563.041200113,621.218968274,653.380231541,24.1590423972,1,0,0,0,0,0,0,0,1.0,0.0
227,367.327437342,586.380090903,614.563303914,231.699706483,0,0,0,0,1,0,0,0,1.0,0.0
228,508.532677166,653.943883538,848.976767492,227.259036274,0,0,0,0,0,0,0,1,1.0,0.0
229,594.731602512,681.749227014,688.726652381,99.2511307582,0,0,0,0,0,0,0,1,1.0,0.0
230,202.330170875,378.392450083,361.737373043,414.455177867,0,0,0,0,1,0,0,0,0.0,0.0
231,534.121576754,577.549081538,701.182090175,68.7591219343,0,1,0,0,0,0,0,0,1.0,0.0
232,437.636261535,566.369163254,597.986808344,46.0202455799,0,1,0,0,0,0,0,0,1.0,0.0
233,794.57852636,716.48323792,916.825480634,18.4056169364,0,0,0,0,0,0,1,0,1.0,1.0
234,616.018562269,675.889259695,695.973616495,159.52656548,0,0,0,0,1,0,0,0,1.0,0.0
235,403.940117339,554.078791512,583.827586927,185.934650564,0,0,0,0,1,0,0,0,1.0,0.0
236,451.291601363,610.257004006,749.966748341,277.96274214,0,0,1,0,0,0,0,0,1.0,0.0
237,601.027992022,652.135938001,673.54161519,201.8270013,1,0,0,0,0,0,0,0,1.0,0.0
238,516.076777251,669.462664455,824.168178441,307.219680274,1,0,0,0,0,0,0,0,1.0,0.0
239,803.776017239,792.986591812,968.655711618,253.508162161,0,0,0,0,0,1,0,0,1.0,1.0
240,600.731664892,644.853965569,648.596552987,309.43383853,0,0,0,0,0,0,0,1,1.0,0.0
241,544.966270428,670.13709618,760.71272292,298.325670657,1,0,0,0,0,0,0,0,1.0,0.0
242,379.564830642,580.095225062,596.632367763,78.2801763489,0,1,0,0,0,0,0,0,1.0,0.0
243,488.627613899,539.232882105,764.225083703,24.1430516542,0,0,1,0,0,0,0,0,1.0,0.0
244,403.958128483,623.323055122,637.960241312,37.2122826954,0,0,0,0,1,0,0,0,1.0,0.0
245,449.734512914,623.518544353,641.92531148,316.870100984,0,0,0,0,1,0,0,0,1.0,0.0
246,397.707745424,602.198492695,624.16333025,39.0811867656,0,0,1,0,0,0,0,0,1.0,0.0
247,387.645127856,565.703105322,615.805682119,108.795793371,0,0,0,0,1,0,0,0,1.0,0.0
248,390.053634875,663.428335326,846.072574421,82.0491061538,0,1,0,0,0,0,0,0,1.0,0.0
249,417.142810667,573.741336159,594.756906979,94.2500645592,0,0,1,0,0,0,0,0,1.0,0.0
250,387.841920315,597.696583339,581.921896622,316.501956862,1,0,0,0,0,0,0,0,1.0,0.0
251,517.985626511,597.556863639,380.758042689,513.039120722,0,0,0,0,0,0,0,1,0.0,0.0
252,567.87891842,620.34036229,801.013367892,90.705424281,0,1,0,0,0,0,0,0,1.0,0.0
253,428.809569204,572.541297183,641.563156831,25.8121254134,1,0,0,0,0,0,0,0,1.0,0.0
254,408.118963292,603.556421236,499.864603316,134.538181675,0,0,0,0,1,0,0,0,1.0,0.0
255,664.296730734,136.586279143,782.704147177,258.158124195,0,0,0,0,0,0,1,0,1.0,1.0
256,585.432435331,658.004277103,708.655469193,64.1572139198,0,1,0,0,0,0,0,0,1.0,0.0
257,546.883510391,610.07371922,745.712694583,70.4898639581,0,0,0,0,0,0,0,1,1.0,0.0
258,394.034001793,699.188297976,825.888900334,251.238893263,0,1,0,0,0,0,0,0,1.0,0.0
259,408.422193887,586.200744291,663.557285172,114.53282195,0,0,1,0,0,0,0,0,1.0,0.0
260,590.026440579,660.994244316,700.00478861,293.607892816,0,1,0,0,0,0,0,0,1.0,0.0
261,440.490302672,573.540957805,704.573557832,183.892002212,1,0,0,0,0,0,0,0,1.0,0.0
262,405.81593447,724.873103913,879.222814051,188.85012403,1,0,0,0,0,0,0,0,1.0,0.0
263,444.421064613,643.292181191,636.225771662,67.6858384352,1,0,0,0,0,0,0,0,1.0,0.0
264,403.836407321,714.238048978,806.153831007,137.388712146,0,1,0,0,0,0,0,0,1.0,0.0
265,178.785771977,458.878140627,355.636903394,597.021875245,0,0,0,0,0,0,0,1,0.0,0.0
266,498.667036739,575.562766535,809.822348248,61.8307480124,1,0,0,0,0,0,0,0,1.0,0.0
267,585.512811895,966.945842339,125.881195767,105.829041249,0,0,0,1,0,0,0,0,1.0,1.0
268,437.537548453,619.676851497,723.819761316,243.0761929,0,1,0,0,0,0,0,0,1.0,0.0
269,594.64005291,649.502170407,649.211744876,32.8867714446,1,0,0,0,0,0,0,0,1.0,0.0
